                     PanelOLS Estimation Summary                     
Dep. Variable:   ,per_emp_chg     ,  R-squared:           ,0.1222    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.1966   
No. Observations:,8541            ,  R-squared (Within):  ,0.1558    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.1471    
Time:            ,14:29:51        ,  Log-likelihood       ,600.22    
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,97.314    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,32.599          ,  Distribution:        ,F(12,8251)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,36.000          ,  F-statistic (robust):,945.71    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,36              ,  Distribution:        ,F(12,8251)
Avg Obs:         ,237.25          ,                       ,          
Min Obs:         ,234.00          ,                       ,          
Max Obs:         ,240.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.3529  ,0.4879   ,-0.7231,0.4696 ,-1.3093 ,0.6036  
L_0_chg_restriction_2_0       ,0.1318   ,0.0614   ,2.1474 ,0.0318 ,0.0115  ,0.2520  
L_0_entry_rate_whole          ,-3.2871  ,0.3525   ,-9.3248,0.0000 ,-3.9781 ,-2.5961 
L_0_log_gdp                   ,-0.3504  ,0.1206   ,-2.9046,0.0037 ,-0.5868 ,-0.1139 
L_1_chg_restriction_2_0       ,-0.0676  ,0.0912   ,-0.7405,0.4590 ,-0.2464 ,0.1113  
L_1_entry_rate_whole          ,0.0239   ,0.2893   ,0.0825 ,0.9343 ,-0.5432 ,0.5910  
L_1_log_gdp                   ,0.3971   ,0.1390   ,2.8580 ,0.0043 ,0.1248  ,0.6695  
L_2_chg_restriction_2_0       ,0.0708   ,0.1491   ,0.4746 ,0.6351 ,-0.2216 ,0.3631  
L_2_entry_rate_whole          ,2.0499   ,0.5027   ,4.0776 ,0.0000 ,1.0645  ,3.0354  
L_2_log_gdp                   ,-0.0059  ,0.1016   ,-0.0579,0.9538 ,-0.2051 ,0.1933  
L_3_entry_rate_whole          ,0.3127   ,0.1818   ,1.7206 ,0.0854 ,-0.0436 ,0.6690  
L_3_log_gdp                   ,-0.0067  ,0.1258   ,-0.0529,0.9579 ,-0.2533 ,0.2400  
pre_cohort_log_restriction_2_0,0.0238   ,0.0358   ,0.6646 ,0.5064 ,-0.0464 ,0.0940  

F-test for Poolability: 4.9738
P-value: 0.0000
Distribution: F(277,8251)

Included effects: Entity, Time
