                     PanelOLS Estimation Summary                     
Dep. Variable:   ,per_emp_chg     ,  R-squared:           ,0.3122    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-2.7910   
No. Observations:,3067            ,  R-squared (Within):  ,0.4044    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.2994    
Time:            ,14:29:55        ,  Log-likelihood       ,3748.3    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,97.417    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,180.41          ,  Distribution:        ,F(14,3004)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,271.00          ,  F-statistic (robust):,34.402    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,36              ,  Distribution:        ,F(14,3004)
Avg Obs:         ,85.194          ,                       ,          
Min Obs:         ,75.000          ,                       ,          
Max Obs:         ,99.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.5134  ,0.2150   ,-2.3878,0.0170 ,-0.9351 ,-0.0918 
L_0_chg_restriction_2_0       ,0.0740   ,0.0387   ,1.9095 ,0.0563 ,-0.0020 ,0.1499  
L_0_entry_rate_whole          ,-6.0380  ,0.4967   ,-12.156,0.0000 ,-7.0120 ,-5.0641 
L_0_log_gdp                   ,-0.1273  ,0.0557   ,-2.2866,0.0223 ,-0.2364 ,-0.0181 
L_1_chg_restriction_2_0       ,-0.0455  ,0.0400   ,-1.1361,0.2560 ,-0.1239 ,0.0330  
L_1_entry_rate_whole          ,-0.0525  ,0.5428   ,-0.0968,0.9229 ,-1.1168 ,1.0117  
L_1_log_gdp                   ,0.1722   ,0.0743   ,2.3165 ,0.0206 ,0.0264  ,0.3179  
L_2_chg_restriction_2_0       ,-0.0161  ,0.0366   ,-0.4405,0.6596 ,-0.0878 ,0.0556  
L_2_entry_rate_whole          ,5.1164   ,0.4784   ,10.695 ,0.0000 ,4.1783  ,6.0544  
L_2_log_gdp                   ,0.0564   ,0.0739   ,0.7640 ,0.4449 ,-0.0884 ,0.2013  
L_3_entry_rate_whole          ,0.2929   ,0.3597   ,0.8143 ,0.4155 ,-0.4123 ,0.9981  
L_3_log_gdp                   ,-0.0491  ,0.0526   ,-0.9319,0.3515 ,-0.1523 ,0.0542  
cross                         ,0.0594   ,0.0419   ,1.4167 ,0.1567 ,-0.0228 ,0.1416  
large_firm                    ,-0.8514  ,0.4726   ,-1.8015,0.0717 ,-1.7781 ,0.0753  
pre_cohort_log_restriction_2_0,0.0241   ,0.0178   ,1.3547 ,0.1756 ,-0.0108 ,0.0591  

F-test for Poolability: 19.207
P-value: 0.0000
Distribution: F(48,3004)

Included effects: Entity, Time
