                     PanelOLS Estimation Summary                     
Dep. Variable:   ,per_emp_chg     ,  R-squared:           ,0.1168    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-1.2602   
No. Observations:,7302            ,  R-squared (Within):  ,0.1892    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.0436    
Time:            ,14:29:52        ,  Log-likelihood       ,-625.40   
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,45.727    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,27.870          ,  Distribution:        ,F(21,7009)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,31.000          ,  F-statistic (robust):,1.426e+15 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,33              ,  Distribution:        ,F(21,7009)
Avg Obs:         ,221.27          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,240.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-1.7512  ,0.7695   ,-2.2758,0.0229 ,-3.2597 ,-0.2428 
L_0_chg_restriction_2_0       ,0.0015   ,0.0918   ,0.0164 ,0.9869 ,-0.1784 ,0.1814  
L_0_entry_rate_whole          ,-3.7007  ,0.5673   ,-6.5233,0.0000 ,-4.8128 ,-2.5886 
L_0_log_gdp                   ,-0.2772  ,0.2277   ,-1.2177,0.2234 ,-0.7235 ,0.1691  
L_1_chg_restriction_2_0       ,-0.0352  ,0.0972   ,-0.3627,0.7169 ,-0.2257 ,0.1552  
L_1_entry_rate_whole          ,0.1582   ,0.3417   ,0.4629 ,0.6435 ,-0.5117 ,0.8281  
L_1_log_gdp                   ,0.6506   ,0.2237   ,2.9082 ,0.0036 ,0.2120  ,1.0891  
L_2_chg_restriction_2_0       ,0.0402   ,0.1211   ,0.3324 ,0.7396 ,-0.1971 ,0.2776  
L_2_entry_rate_whole          ,-0.1898  ,0.2279   ,-0.8331,0.4048 ,-0.6366 ,0.2569  
L_2_log_gdp                   ,-0.1404  ,0.1823   ,-0.7701,0.4413 ,-0.4976 ,0.2169  
L_3_chg_restriction_2_0       ,0.2857   ,0.1218   ,2.3450 ,0.0191 ,0.0469  ,0.5246  
L_3_entry_rate_whole          ,-0.3312  ,0.1435   ,-2.3075,0.0211 ,-0.6125 ,-0.0498 
L_3_log_gdp                   ,-0.0125  ,0.1302   ,-0.0957,0.9238 ,-0.2677 ,0.2428  
L_4_chg_restriction_2_0       ,0.2802   ,0.1747   ,1.6045 ,0.1087 ,-0.0622 ,0.6226  
L_4_entry_rate_whole          ,0.4439   ,0.1926   ,2.3046 ,0.0212 ,0.0663  ,0.8216  
L_4_log_gdp                   ,-0.0518  ,0.2034   ,-0.2548,0.7989 ,-0.4505 ,0.3468  
L_5_chg_restriction_2_0       ,0.2604   ,0.1127   ,2.3106 ,0.0209 ,0.0395  ,0.4813  
L_5_entry_rate_whole          ,1.1836   ,0.3995   ,2.9629 ,0.0031 ,0.4005  ,1.9667  
L_5_log_gdp                   ,0.2316   ,0.1548   ,1.4959 ,0.1347 ,-0.0719 ,0.5351  
L_6_entry_rate_whole          ,0.0237   ,0.1148   ,0.2066 ,0.8363 ,-0.2014 ,0.2488  
L_6_log_gdp                   ,-0.3094  ,0.2216   ,-1.3960,0.1628 ,-0.7438 ,0.1251  
pre_cohort_log_restriction_2_0,0.1324   ,0.0638   ,2.0759 ,0.0379 ,0.0074  ,0.2574  

F-test for Poolability: 7.1533
P-value: 0.0000
Distribution: F(271,7009)

Included effects: Entity, Time
