                     PanelOLS Estimation Summary                      
Dep. Variable:   ,reallocation_rate,  R-squared:           ,0.0834    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-0.4412   
No. Observations:,2916             ,  R-squared (Within):  ,-0.2023   
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,-0.2754   
Time:            ,16:26:40         ,  Log-likelihood       ,6041.6    
Cov. Estimator:  ,Robust           ,                       ,          
                 ,                 ,  F-statistic:         ,1.18e+04  
Entities:        ,17               ,  P-value              ,0.0000    
Avg Obs:         ,171.53           ,  Distribution:        ,F(18,2852)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,261.00           ,  F-statistic (robust):,23.412    
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,38               ,  Distribution:        ,F(18,2852)
Avg Obs:         ,76.737           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,97.000           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.1298   ,0.1134   ,1.1444 ,0.2526 ,-0.0926 ,0.3522  
L_0_entry_rate_whole          ,0.9734   ,0.1940   ,5.0183 ,0.0000 ,0.5930  ,1.3537  
L_0_log_gdp                   ,0.0977   ,0.0241   ,4.0457 ,0.0001 ,0.0503  ,0.1450  
L_1_entry_rate_whole          ,-0.3208  ,0.2683   ,-1.1957,0.2319 ,-0.8468 ,0.2052  
L_1_log_gdp                   ,-0.0093  ,0.0331   ,-0.2810,0.7787 ,-0.0743 ,0.0557  
L_2_entry_rate_whole          ,-0.2406  ,0.2610   ,-0.9217,0.3567 ,-0.7524 ,0.2712  
L_2_log_gdp                   ,-0.1002  ,0.0353   ,-2.8409,0.0045 ,-0.1693 ,-0.0310 
L_3_entry_rate_whole          ,-0.3933  ,0.2388   ,-1.6475,0.0996 ,-0.8615 ,0.0748  
L_3_log_gdp                   ,-0.0518  ,0.0349   ,-1.4855,0.1375 ,-0.1202 ,0.0166  
L_4_entry_rate_whole          ,0.4395   ,0.2060   ,2.1341 ,0.0329 ,0.0357  ,0.8434  
L_4_log_gdp                   ,0.0503   ,0.0342   ,1.4698 ,0.1417 ,-0.0168 ,0.1175  
L_5_entry_rate_whole          ,-0.3362  ,0.1807   ,-1.8610,0.0628 ,-0.6905 ,0.0180  
L_5_log_gdp                   ,-0.0122  ,0.0335   ,-0.3650,0.7151 ,-0.0780 ,0.0535  
L_6_entry_rate_whole          ,-0.0908  ,0.1383   ,-0.6562,0.5117 ,-0.3620 ,0.1805  
L_6_log_gdp                   ,0.0412   ,0.0256   ,1.6085 ,0.1078 ,-0.0090 ,0.0914  
cross                         ,0.0034   ,0.0055   ,0.6070 ,0.5439 ,-0.0075 ,0.0142  
full_chg_restriction_2_0      ,0.0283   ,0.0387   ,0.7321 ,0.4641 ,-0.0475 ,0.1042  
large_firm                    ,-0.1482  ,0.0566   ,-2.6191,0.0089 ,-0.2592 ,-0.0373 
pre_cohort_log_restriction_2_0,0.0086   ,0.0081   ,1.0517 ,0.2930 ,-0.0074 ,0.0245  

F-test for Poolability: 22.126
P-value: 0.0000
Distribution: F(45,2852)

Included effects: Entity, Time
