                     PanelOLS Estimation Summary                      
Dep. Variable:   ,reallocation_rate,  R-squared:           ,0.2232    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-0.3565   
No. Observations:,3186             ,  R-squared (Within):  ,0.1666    
Date:            ,Wed, Jul 13 2022 ,  R-squared (Overall): ,0.1235    
Time:            ,09:40:26         ,  Log-likelihood       ,-1.24e+04 
Cov. Estimator:  ,Robust           ,                       ,          
                 ,                 ,  F-statistic:         ,74.789    
Entities:        ,17               ,  P-value              ,0.0000    
Avg Obs:         ,187.41           ,  Distribution:        ,F(12,3123)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,277.00           ,  F-statistic (robust):,36.625    
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,39               ,  Distribution:        ,F(12,3123)
Avg Obs:         ,81.692           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,99.000           ,                       ,          
                 ,                 ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,40.622   ,20.433   ,1.9880 ,0.0469 ,0.5579  ,80.686  
L_0_entry_rate_whole   ,102.71   ,27.021   ,3.8010 ,0.0001 ,49.725  ,155.69  
L_0_log_gdp            ,10.931   ,4.0919   ,2.6714 ,0.0076 ,2.9080  ,18.954  
L_0_log_restriction_2_0,-1.7300  ,4.1559   ,-0.4163,0.6772 ,-9.8785 ,6.4186  
L_1_entry_rate_whole   ,-72.069  ,34.128   ,-2.1117,0.0348 ,-138.99 ,-5.1528 
L_1_log_gdp            ,-8.6705  ,5.8170   ,-1.4906,0.1362 ,-20.076 ,2.7349  
L_1_log_restriction_2_0,0.1244   ,5.5119   ,0.0226 ,0.9820 ,-10.683 ,10.932  
L_2_entry_rate_whole   ,-12.212  ,25.820   ,-0.4730,0.6363 ,-62.838 ,38.414  
L_2_log_gdp            ,0.1595   ,4.5796   ,0.0348 ,0.9722 ,-8.8198 ,9.1388  
L_2_log_restriction_2_0,0.2808   ,4.1498   ,0.0677 ,0.9460 ,-7.8557 ,8.4174  
cross                  ,0.3110   ,0.7561   ,0.4113 ,0.6809 ,-1.1715 ,1.7934  
large_firm             ,-21.325  ,8.2314   ,-2.5907,0.0096 ,-37.465 ,-5.1857 
log_emp_cohort         ,-0.3087  ,0.5114   ,-0.6036,0.5462 ,-1.3114 ,0.6941  

F-test for Poolability: 6.7811
P-value: 0.0000
Distribution: F(50,3123)

Included effects: Entity, Time
