                     IV-2SLS Estimation Summary                    
Dep. Variable:   ,reallocation_rate,  R-squared:         ,0.5620   
Estimator:       ,IV-2SLS          ,  Adj. R-squared:    ,0.5469   
No. Observations:,9412             ,  F-statistic:       ,3.052e+05
Date:            ,Tue, Sep 20 2022 ,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:58         ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic  ,                     ,         
                 ,                 ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.2111]      ,3.0886   ,0.8086   ,3.8195 ,0.0001 ,1.5037  ,4.6735  
C(sector)[T.2121]      ,3.0599   ,0.8117   ,3.7698 ,0.0002 ,1.4690  ,4.6507  
C(sector)[T.2122]      ,2.9638   ,0.8098   ,3.6599 ,0.0003 ,1.3766  ,4.5510  
C(sector)[T.2123]      ,3.0384   ,0.8083   ,3.7589 ,0.0002 ,1.4541  ,4.6226  
C(sector)[T.2131]      ,3.1243   ,0.8079   ,3.8672 ,0.0001 ,1.5408  ,4.7077  
C(sector)[T.2211]      ,3.0148   ,0.8309   ,3.6285 ,0.0003 ,1.3863  ,4.6432  
C(sector)[T.2212]      ,3.0273   ,0.8271   ,3.6599 ,0.0003 ,1.4061  ,4.6484  
C(sector)[T.2213]      ,3.0691   ,0.8287   ,3.7036 ,0.0002 ,1.4449  ,4.6933  
C(sector)[T.2361]      ,2.8347   ,0.6861   ,4.1315 ,0.0000 ,1.4900  ,4.1795  
C(sector)[T.2362]      ,2.7360   ,0.6884   ,3.9743 ,0.0001 ,1.3867  ,4.0853  
C(sector)[T.2371]      ,2.7130   ,0.6876   ,3.9456 ,0.0001 ,1.3653  ,4.0607  
C(sector)[T.2372]      ,2.8178   ,0.6899   ,4.0840 ,0.0000 ,1.4655  ,4.1700  
C(sector)[T.2373]      ,2.6912   ,0.6892   ,3.9048 ,0.0001 ,1.3404  ,4.0420  
C(sector)[T.2379]      ,2.7804   ,0.6902   ,4.0286 ,0.0001 ,1.4277  ,4.1331  
C(sector)[T.2381]      ,2.7887   ,0.6878   ,4.0545 ,0.0001 ,1.4406  ,4.1369  
C(sector)[T.2382]      ,2.6848   ,0.6870   ,3.9079 ,0.0001 ,1.3382  ,4.0313  
C(sector)[T.2383]      ,2.7885   ,0.6872   ,4.0577 ,0.0000 ,1.4416  ,4.1355  
C(sector)[T.2389]      ,2.7533   ,0.6870   ,4.0077 ,0.0001 ,1.4068  ,4.0998  
C(sector)[T.3111]      ,3.6607   ,1.0072   ,3.6345 ,0.0003 ,1.6867  ,5.6348  
C(sector)[T.3112]      ,3.5888   ,1.0092   ,3.5562 ,0.0004 ,1.6109  ,5.5668  
C(sector)[T.3113]      ,3.6450   ,1.0094   ,3.6110 ,0.0003 ,1.6666  ,5.6234  
C(sector)[T.3114]      ,3.6543   ,1.0099   ,3.6186 ,0.0003 ,1.6750  ,5.6336  
C(sector)[T.3115]      ,3.6113   ,1.0072   ,3.5854 ,0.0003 ,1.6372  ,5.5855  
C(sector)[T.3116]      ,3.5839   ,1.0076   ,3.5568 ,0.0004 ,1.6090  ,5.5588  
C(sector)[T.3117]      ,3.7052   ,1.0073   ,3.6784 ,0.0002 ,1.7310  ,5.6795  
C(sector)[T.3118]      ,3.6824   ,1.0092   ,3.6488 ,0.0003 ,1.7044  ,5.6604  
C(sector)[T.3119]      ,3.6658   ,1.0108   ,3.6267 ,0.0003 ,1.6847  ,5.6469  
C(sector)[T.3121]      ,3.6647   ,1.0135   ,3.6159 ,0.0003 ,1.6783  ,5.6511  
C(sector)[T.3122]      ,3.5712   ,1.0090   ,3.5392 ,0.0004 ,1.5936  ,5.5489  
C(sector)[T.3131]      ,3.5891   ,1.0072   ,3.5634 ,0.0004 ,1.6150  ,5.5631  
C(sector)[T.3132]      ,3.5842   ,1.0064   ,3.5615 ,0.0004 ,1.6117  ,5.5567  
C(sector)[T.3133]      ,3.6382   ,1.0068   ,3.6137 ,0.0003 ,1.6649  ,5.6115  
C(sector)[T.3141]      ,3.6295   ,1.0056   ,3.6092 ,0.0003 ,1.6585  ,5.6005  
C(sector)[T.3149]      ,3.7189   ,1.0097   ,3.6833 ,0.0002 ,1.7400  ,5.6978  
C(sector)[T.3151]      ,3.6043   ,1.0022   ,3.5964 ,0.0003 ,1.6400  ,5.5685  
C(sector)[T.3152]      ,3.7439   ,1.0053   ,3.7241 ,0.0002 ,1.7735  ,5.7142  
C(sector)[T.3159]      ,3.6743   ,1.0042   ,3.6591 ,0.0003 ,1.7062  ,5.6425  
C(sector)[T.3161]      ,3.6257   ,1.0062   ,3.6034 ,0.0003 ,1.6536  ,5.5978  
C(sector)[T.3162]      ,3.5855   ,1.0061   ,3.5637 ,0.0004 ,1.6136  ,5.5575  
C(sector)[T.3169]      ,3.6802   ,1.0068   ,3.6552 ,0.0003 ,1.7068  ,5.6536  
C(sector)[T.3211]      ,3.6385   ,1.0070   ,3.6131 ,0.0003 ,1.6647  ,5.6122  
C(sector)[T.3212]      ,3.6214   ,1.0093   ,3.5879 ,0.0003 ,1.6432  ,5.5997  
C(sector)[T.3219]      ,3.6770   ,1.0089   ,3.6447 ,0.0003 ,1.6997  ,5.6543  
C(sector)[T.3221]      ,3.5408   ,1.0097   ,3.5068 ,0.0005 ,1.5618  ,5.5197  
C(sector)[T.3222]      ,3.5984   ,1.0078   ,3.5705 ,0.0004 ,1.6231  ,5.5737  
C(sector)[T.3231]      ,3.6363   ,1.0062   ,3.6140 ,0.0003 ,1.6642  ,5.6083  
C(sector)[T.3241]      ,3.5812   ,1.0078   ,3.5535 ,0.0004 ,1.6060  ,5.5565  
C(sector)[T.3251]      ,3.5974   ,1.0101   ,3.5613 ,0.0004 ,1.6176  ,5.5772  
C(sector)[T.3252]      ,3.6286   ,1.0143   ,3.5775 ,0.0003 ,1.6407  ,5.6166  
C(sector)[T.3253]      ,3.6286   ,1.0095   ,3.5946 ,0.0003 ,1.6501  ,5.6071  
C(sector)[T.3254]      ,3.6363   ,1.0113   ,3.5955 ,0.0003 ,1.6541  ,5.6184  
C(sector)[T.3255]      ,3.6306   ,1.0084   ,3.6003 ,0.0003 ,1.6542  ,5.6071  
C(sector)[T.3256]      ,3.6436   ,1.0090   ,3.6111 ,0.0003 ,1.6660  ,5.6212  
C(sector)[T.3259]      ,3.6302   ,1.0089   ,3.5984 ,0.0003 ,1.6529  ,5.6075  
C(sector)[T.3261]      ,3.6408   ,1.0084   ,3.6106 ,0.0003 ,1.6644  ,5.6171  
C(sector)[T.3262]      ,3.5813   ,1.0076   ,3.5541 ,0.0004 ,1.6063  ,5.5562  
C(sector)[T.3271]      ,3.6239   ,1.0078   ,3.5958 ,0.0003 ,1.6486  ,5.5992  
C(sector)[T.3272]      ,3.5994   ,1.0088   ,3.5681 ,0.0004 ,1.6222  ,5.5766  
C(sector)[T.3273]      ,3.6939   ,1.0071   ,3.6679 ,0.0002 ,1.7201  ,5.6677  
C(sector)[T.3274]      ,3.5759   ,1.0076   ,3.5489 ,0.0004 ,1.6010  ,5.5508  
C(sector)[T.3279]      ,3.6639   ,1.0111   ,3.6236 ,0.0003 ,1.6821  ,5.6457  
C(sector)[T.3311]      ,3.5612   ,1.0107   ,3.5234 ,0.0004 ,1.5802  ,5.5422  
C(sector)[T.3312]      ,3.6080   ,1.0093   ,3.5749 ,0.0004 ,1.6299  ,5.5862  
C(sector)[T.3313]      ,3.5807   ,1.0093   ,3.5478 ,0.0004 ,1.6025  ,5.5588  
C(sector)[T.3314]      ,3.5922   ,1.0094   ,3.5587 ,0.0004 ,1.6138  ,5.5706  
C(sector)[T.3315]      ,3.5871   ,1.0071   ,3.5618 ,0.0004 ,1.6132  ,5.5609  
C(sector)[T.3321]      ,3.6138   ,1.0073   ,3.5875 ,0.0003 ,1.6395  ,5.5881  
C(sector)[T.3322]      ,3.5995   ,1.0090   ,3.5675 ,0.0004 ,1.6219  ,5.5771  
C(sector)[T.3323]      ,3.6744   ,1.0100   ,3.6379 ,0.0003 ,1.6947  ,5.6540  
C(sector)[T.3324]      ,3.6270   ,1.0081   ,3.5979 ,0.0003 ,1.6512  ,5.6029  
C(sector)[T.3325]      ,3.5847   ,1.0068   ,3.5605 ,0.0004 ,1.6115  ,5.5580  
C(sector)[T.3326]      ,3.6252   ,1.0079   ,3.5969 ,0.0003 ,1.6498  ,5.6005  
C(sector)[T.3327]      ,3.6560   ,1.0093   ,3.6224 ,0.0003 ,1.6779  ,5.6342  
C(sector)[T.3328]      ,3.6619   ,1.0090   ,3.6291 ,0.0003 ,1.6842  ,5.6396  
C(sector)[T.3329]      ,3.6282   ,1.0087   ,3.5969 ,0.0003 ,1.6512  ,5.6052  
C(sector)[T.3331]      ,3.6164   ,1.0086   ,3.5857 ,0.0003 ,1.6397  ,5.5932  
C(sector)[T.3332]      ,3.6357   ,1.0081   ,3.6064 ,0.0003 ,1.6598  ,5.6115  
C(sector)[T.3333]      ,3.6338   ,1.0083   ,3.6037 ,0.0003 ,1.6575  ,5.6101  
C(sector)[T.3334]      ,3.6209   ,1.0088   ,3.5895 ,0.0003 ,1.6438  ,5.5981  
C(sector)[T.3335]      ,3.6208   ,1.0075   ,3.5940 ,0.0003 ,1.6462  ,5.5955  
C(sector)[T.3336]      ,3.6024   ,1.0097   ,3.5677 ,0.0004 ,1.6234  ,5.5815  
C(sector)[T.3339]      ,3.6230   ,1.0092   ,3.5899 ,0.0003 ,1.6450  ,5.6010  
C(sector)[T.3341]      ,3.6517   ,1.0069   ,3.6266 ,0.0003 ,1.6782  ,5.6253  
C(sector)[T.3342]      ,3.6431   ,1.0083   ,3.6130 ,0.0003 ,1.6668  ,5.6194  
C(sector)[T.3343]      ,3.6421   ,1.0100   ,3.6059 ,0.0003 ,1.6625  ,5.6218  
C(sector)[T.3344]      ,3.6367   ,1.0080   ,3.6078 ,0.0003 ,1.6611  ,5.6124  
C(sector)[T.3345]      ,3.6226   ,1.0092   ,3.5897 ,0.0003 ,1.6447  ,5.6006  
C(sector)[T.3346]      ,3.6716   ,1.0083   ,3.6414 ,0.0003 ,1.6954  ,5.6479  
C(sector)[T.3351]      ,3.6151   ,1.0086   ,3.5844 ,0.0003 ,1.6384  ,5.5918  
C(sector)[T.3352]      ,3.5773   ,1.0076   ,3.5504 ,0.0004 ,1.6025  ,5.5522  
C(sector)[T.3353]      ,3.6113   ,1.0087   ,3.5801 ,0.0003 ,1.6343  ,5.5884  
C(sector)[T.3359]      ,3.6209   ,1.0085   ,3.5903 ,0.0003 ,1.6442  ,5.5976  
C(sector)[T.3361]      ,3.5821   ,1.0103   ,3.5454 ,0.0004 ,1.6018  ,5.5623  
C(sector)[T.3362]      ,3.6361   ,1.0089   ,3.6042 ,0.0003 ,1.6588  ,5.6134  
C(sector)[T.3363]      ,3.6115   ,1.0095   ,3.5776 ,0.0003 ,1.6330  ,5.5901  
C(sector)[T.3364]      ,3.5878   ,1.0088   ,3.5566 ,0.0004 ,1.6107  ,5.5650  
C(sector)[T.3365]      ,3.6184   ,1.0088   ,3.5868 ,0.0003 ,1.6412  ,5.5957  
C(sector)[T.3366]      ,3.6352   ,1.0099   ,3.5995 ,0.0003 ,1.6558  ,5.6145  
C(sector)[T.3369]      ,3.6792   ,1.0123   ,3.6346 ,0.0003 ,1.6952  ,5.6632  
C(sector)[T.3371]      ,3.6591   ,1.0087   ,3.6275 ,0.0003 ,1.6821  ,5.6361  
C(sector)[T.3372]      ,3.6580   ,1.0104   ,3.6202 ,0.0003 ,1.6776  ,5.6384  
C(sector)[T.3379]      ,3.6473   ,1.0072   ,3.6211 ,0.0003 ,1.6731  ,5.6215  
C(sector)[T.3391]      ,3.6615   ,1.0090   ,3.6289 ,0.0003 ,1.6840  ,5.6391  
C(sector)[T.3399]      ,3.6886   ,1.0092   ,3.6548 ,0.0003 ,1.7105  ,5.6667  
C(sector)[T.4231]      ,2.6781   ,0.7065   ,3.7908 ,0.0002 ,1.2935  ,4.0628  
C(sector)[T.4232]      ,2.7153   ,0.7105   ,3.8218 ,0.0001 ,1.3228  ,4.1077  
C(sector)[T.4233]      ,2.6976   ,0.7105   ,3.7969 ,0.0001 ,1.3051  ,4.0901  
C(sector)[T.4234]      ,2.7382   ,0.7075   ,3.8701 ,0.0001 ,1.3515  ,4.1250  
