                     PanelOLS Estimation Summary                      
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0806     
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.1080    
No. Observations:,24040           ,  R-squared (Within):  ,0.0790     
Date:            ,Sun, Jun 19 2022,  R-squared (Overall): ,0.0894     
Time:            ,15:35:00        ,  Log-likelihood       ,2.469e+04  
Cov. Estimator:  ,Clustered       ,                       ,           
                 ,                ,  F-statistic:         ,160.69     
Entities:        ,262             ,  P-value              ,0.0000     
Avg Obs:         ,91.756          ,  Distribution:        ,F(13,23827)
Min Obs:         ,0.0000          ,                       ,           
Max Obs:         ,161.00          ,  F-statistic (robust):,3.876e+04  
                 ,                ,  P-value              ,0.0000     
Time periods:    ,36              ,  Distribution:        ,F(13,23827)
Avg Obs:         ,667.78          ,                       ,           
Min Obs:         ,146.00          ,                       ,           
Max Obs:         ,1214.0          ,                       ,           
                 ,                ,                       ,           
                               Parameter Estimates                               
                           ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.2.0]    ,0.3279   ,0.1516   ,2.1622 ,0.0306 ,0.0307  ,0.6251  
C(age_grp_dummy)[T.3.0]    ,0.2995   ,0.1515   ,1.9777 ,0.0480 ,0.0027  ,0.5964  
C(age_grp_dummy)[T.4.0]    ,0.2821   ,0.1512   ,1.8659 ,0.0621 ,-0.0142 ,0.5785  
C(age_grp_dummy)[T.5.0]    ,0.2711   ,0.1525   ,1.7777 ,0.0755 ,-0.0278 ,0.5700  
L_0_entry_rate_whole       ,0.0794   ,0.0903   ,0.8792 ,0.3793 ,-0.0976 ,0.2564  
L_0_log_gdp                ,-0.0582  ,0.0295   ,-1.9769,0.0481 ,-0.1160 ,-0.0005 
L_0_log_restriction_2_0    ,0.0373   ,0.0143   ,2.6081 ,0.0091 ,0.0093  ,0.0653  
cohort_entry_rate_whole    ,0.1567   ,0.0333   ,4.7057 ,0.0000 ,0.0914  ,0.2219  
cohort_log_gdp             ,0.0563   ,0.0093   ,6.0276 ,0.0000 ,0.0380  ,0.0746  
cohort_log_restriction_2_0 ,-0.0367  ,0.0147   ,-2.4902,0.0128 ,-0.0656 ,-0.0078 
inc_avg_entry_rate_whole   ,-0.1549  ,0.1243   ,-1.2466,0.2126 ,-0.3985 ,0.0887  
inc_avg_log_gdp            ,-0.0007  ,0.0248   ,-0.0262,0.9791 ,-0.0492 ,0.0479  
inc_avg_log_restriction_2_0,-0.0029  ,0.0092   ,-0.3184,0.7502 ,-0.0209 ,0.0151  
log_emp_cohort             ,-0.0138  ,0.0021   ,-6.5216,0.0000 ,-0.0179 ,-0.0096 

F-test for Poolability: 16.181
P-value: 0.0000
Distribution: F(199,23827)

Included effects: Entity, Time
