                       PanelOLS Estimation Summary                       
Dep. Variable:   ,job_destruction_rate,  R-squared:           ,0.0207    
Estimator:       ,PanelOLS            ,  R-squared (Between): ,-0.1421   
No. Observations:,3550                ,  R-squared (Within):  ,-0.0327   
Date:            ,Sun, Jun 19 2022    ,  R-squared (Overall): ,-0.0392   
Time:            ,15:36:38            ,  Log-likelihood       ,-1.456e+04
Cov. Estimator:  ,Robust              ,                       ,          
                 ,                    ,  F-statistic:         ,6.1333    
Entities:        ,17                  ,  P-value              ,0.0000    
Avg Obs:         ,208.82              ,  Distribution:        ,F(12,3489)
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,312.00              ,  F-statistic (robust):,5.9506    
                 ,                    ,  P-value              ,0.0000    
Time periods:    ,36                  ,  Distribution:        ,F(12,3489)
Avg Obs:         ,98.611              ,                       ,          
Min Obs:         ,74.000              ,                       ,          
Max Obs:         ,182.00              ,                       ,          
                 ,                    ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-9.5639  ,26.890   ,-0.3557,0.7221 ,-62.285 ,43.158  
L_0_entry_rate_whole   ,-44.787  ,33.784   ,-1.3257,0.1850 ,-111.03 ,21.452  
L_0_log_gdp            ,-0.5440  ,4.2532   ,-0.1279,0.8982 ,-8.8830 ,7.7951  
L_0_log_restriction_2_0,-2.6494  ,5.1660   ,-0.5129,0.6081 ,-12.778 ,7.4792  
L_1_entry_rate_whole   ,-0.7633  ,36.423   ,-0.0210,0.9833 ,-72.175 ,70.648  
L_1_log_gdp            ,-18.193  ,6.0801   ,-2.9922,0.0028 ,-30.114 ,-6.2721 
L_1_log_restriction_2_0,7.6904   ,6.4222   ,1.1975 ,0.2312 ,-4.9013 ,20.282  
L_2_entry_rate_whole   ,63.346   ,29.671   ,2.1349 ,0.0328 ,5.1707  ,121.52  
L_2_log_gdp            ,20.633   ,4.1349   ,4.9900 ,0.0000 ,12.526  ,28.740  
L_2_log_restriction_2_0,-1.5662  ,4.3998   ,-0.3560,0.7219 ,-10.193 ,7.0602  
cross                  ,0.6315   ,0.9082   ,0.6953 ,0.4869 ,-1.1492 ,2.4121  
large_firm             ,-11.893  ,10.032   ,-1.1855,0.2359 ,-31.561 ,7.7759  
log_emp_cohort         ,-1.2826  ,0.7326   ,-1.7509,0.0800 ,-2.7189 ,0.1536  

F-test for Poolability: 5.1518
P-value: 0.0000
Distribution: F(48,3489)

Included effects: Entity, Time
