                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0241    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.1415   
No. Observations:,6180            ,  R-squared (Within):  ,0.0298    
Date:            ,Sun, Jun 19 2022,  R-squared (Overall): ,0.0259    
Time:            ,15:34:55        ,  Log-likelihood       ,5309.6    
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,11.339    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,23.588          ,  Distribution:        ,F(13,5968)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,41.000          ,  F-statistic (robust):,1483.3    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,35              ,  Distribution:        ,F(13,5968)
Avg Obs:         ,176.57          ,                       ,          
Min Obs:         ,146.00          ,                       ,          
Max Obs:         ,306.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,0.3896   ,0.2260   ,1.7241 ,0.0847 ,-0.0534 ,0.8326  
L_0_entry_rate_whole   ,0.1939   ,0.2147   ,0.9030 ,0.3666 ,-0.2270 ,0.6147  
L_0_log_gdp            ,-0.0664  ,0.0422   ,-1.5742,0.1155 ,-0.1492 ,0.0163  
L_0_log_restriction_2_0,0.0636   ,0.0280   ,2.2686 ,0.0233 ,0.0086  ,0.1186  
L_1_entry_rate_whole   ,-0.3471  ,0.2328   ,-1.4910,0.1360 ,-0.8034 ,0.1093  
L_1_log_gdp            ,-0.0671  ,0.0262   ,-2.5633,0.0104 ,-0.1183 ,-0.0158 
L_1_log_restriction_2_0,-0.0106  ,0.0359   ,-0.2956,0.7676 ,-0.0809 ,0.0597  
L_2_entry_rate_whole   ,0.1152   ,0.0646   ,1.7842 ,0.0744 ,-0.0114 ,0.2417  
L_2_log_gdp            ,0.1072   ,0.0433   ,2.4779 ,0.0132 ,0.0224  ,0.1920  
L_2_log_restriction_2_0,0.0387   ,0.0355   ,1.0884 ,0.2765 ,-0.0310 ,0.1084  
L_3_entry_rate_whole   ,0.1246   ,0.0494   ,2.5225 ,0.0117 ,0.0278  ,0.2214  
L_3_log_gdp            ,0.0125   ,0.0204   ,0.6101 ,0.5418 ,-0.0276 ,0.0525  
L_3_log_restriction_2_0,-0.0933  ,0.0376   ,-2.4855,0.0130 ,-0.1670 ,-0.0197 
log_emp_cohort         ,-0.0177  ,0.0042   ,-4.2084,0.0000 ,-0.0259 ,-0.0094 

F-test for Poolability: 3.7054
P-value: 0.0000
Distribution: F(198,5968)

Included effects: Entity, Time
