                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.1973    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.1099    
No. Observations:,3303            ,  R-squared (Within):  ,0.1845    
Date:            ,Thu, Jun 02 2022,  R-squared (Overall): ,0.1829    
Time:            ,13:50:53        ,  Log-likelihood       ,4540.9    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,56.933    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,194.29          ,  Distribution:        ,F(14,3242)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,302.00          ,  F-statistic (robust):,137.21    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(14,3242)
Avg Obs:         ,97.147          ,                       ,          
Min Obs:         ,68.000          ,                       ,          
Max Obs:         ,184.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                              
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI, Upper CI
const                  ,-0.0568  ,0.1506   ,-0.3770,0.7062 ,-0.3520 ,0.2384   
L_0_entry_rate_whole   ,-0.1740  ,0.1892   ,-0.9199,0.3577 ,-0.5449 ,0.1969   
L_0_log_gdp            ,-0.0248  ,0.0272   ,-0.9126,0.3615 ,-0.0781 ,0.0285   
L_0_log_restriction_2_0,-0.0269  ,0.0281   ,-0.9590,0.3376 ,-0.0820 ,0.0281   
L_1_entry_rate_whole   ,0.0854   ,0.2419   ,0.3532 ,0.7240 ,-0.3888 ,0.5597   
L_1_log_gdp            ,-0.0273  ,0.0389   ,-0.7032,0.4820 ,-0.1035 ,0.0489   
L_1_log_restriction_2_0,0.0439   ,0.0340   ,1.2912 ,0.1967 ,-0.0227 ,0.1105   
L_2_entry_rate_whole   ,-0.0767  ,0.2266   ,-0.3386,0.7350 ,-0.5210 ,0.3676   
L_2_log_gdp            ,0.0498   ,0.0406   ,1.2262 ,0.2202 ,-0.0298 ,0.1295   
L_2_log_restriction_2_0,0.0092   ,0.0272   ,0.3393 ,0.7344 ,-0.0441 ,0.0626   
L_3_entry_rate_whole   ,0.2257   ,0.1767   ,1.2773 ,0.2016 ,-0.1207 ,0.5721   
L_3_log_gdp            ,0.0061   ,0.0266   ,0.2298 ,0.8183 ,-0.0460 ,0.0582   
L_3_log_restriction_2_0,-0.0163  ,0.0227   ,-0.7204,0.4713 ,-0.0608 ,0.0281   
cross                  ,-0.0038  ,0.0015   ,-2.4623,0.0139 ,-0.0069 ,-0.0008  
large_firm             ,-0.0323  ,0.0165   ,-1.9575,0.0504 ,-0.0647 ,5.199e-05

F-test for Poolability: 1.4520
P-value: 0.0253
Distribution: F(46,3242)

Included effects: Entity, Time
