                     PanelOLS Estimation Summary                      
Dep. Variable:   ,job_creation_rate,  R-squared:           ,0.0199    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,0.1496    
No. Observations:,7100             ,  R-squared (Within):  ,0.0362    
Date:            ,Sun, Jun 19 2022 ,  R-squared (Overall): ,0.0574    
Time:            ,14:38:02         ,  Log-likelihood       ,-2.55e+04 
Cov. Estimator:  ,Clustered        ,                       ,          
                 ,                 ,  F-statistic:         ,11.678    
Entities:        ,262              ,  P-value              ,0.0000    
Avg Obs:         ,27.099           ,  Distribution:        ,F(12,6886)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,44.000           ,  F-statistic (robust):,100.09    
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,38               ,  Distribution:        ,F(12,6886)
Avg Obs:         ,186.84           ,                       ,          
Min Obs:         ,159.00           ,                       ,          
Max Obs:         ,324.00           ,                       ,          
                 ,                 ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,23.113   ,10.247   ,2.2555 ,0.0241 ,3.0246  ,43.201  
L_0_entry_rate_whole   ,21.844   ,11.445   ,1.9086 ,0.0564 ,-0.5914 ,44.279  
L_0_log_gdp            ,9.1777   ,2.4509   ,3.7446 ,0.0002 ,4.3732  ,13.982  
L_0_log_restriction_2_0,2.2213   ,2.4390   ,0.9108 ,0.3625 ,-2.5598 ,7.0025  
L_1_entry_rate_whole   ,9.4008   ,7.1660   ,1.3119 ,0.1896 ,-4.6467 ,23.448  
L_1_log_gdp            ,5.6001   ,3.8847   ,1.4416 ,0.1495 ,-2.0150 ,13.215  
L_1_log_restriction_2_0,-1.1467  ,2.7387   ,-0.4187,0.6754 ,-6.5153 ,4.2219  
L_2_entry_rate_whole   ,-11.634  ,5.0880   ,-2.2865,0.0223 ,-21.608 ,-1.6595 
L_2_log_gdp            ,-13.168  ,5.4789   ,-2.4035,0.0163 ,-23.909 ,-2.4281 
L_2_log_restriction_2_0,-0.0366  ,2.0652   ,-0.0177,0.9859 ,-4.0850 ,4.0119  
L_3_entry_rate_whole   ,-3.8191  ,4.2958   ,-0.8890,0.3740 ,-12.240 ,4.6020  
L_3_log_gdp            ,-1.8475  ,2.8660   ,-0.6446,0.5192 ,-7.4658 ,3.7708  
L_3_log_restriction_2_0,-1.5116  ,2.1362   ,-0.7076,0.4792 ,-5.6993 ,2.6761  

F-test for Poolability: 5.0304
P-value: 0.0000
Distribution: F(201,6886)

Included effects: Entity, Time
