                       PanelOLS Estimation Summary                        
Dep. Variable:   ,net_job_creation_rate,  R-squared:           ,0.0288    
Estimator:       ,PanelOLS             ,  R-squared (Between): ,-0.1967   
No. Observations:,6559                 ,  R-squared (Within):  ,0.0172    
Date:            ,Sun, Jun 19 2022     ,  R-squared (Overall): ,-0.0391   
Time:            ,15:35:30             ,  Log-likelihood       ,-2.752e+04
Cov. Estimator:  ,Clustered            ,                       ,          
                 ,                     ,  F-statistic:         ,14.456    
Entities:        ,262                  ,  P-value              ,0.0000    
Avg Obs:         ,25.034               ,  Distribution:        ,F(13,6347)
Min Obs:         ,0.0000               ,                       ,          
Max Obs:         ,41.000               ,  F-statistic (robust):,113.52    
                 ,                     ,  P-value              ,0.0000    
Time periods:    ,35                   ,  Distribution:        ,F(13,6347)
Avg Obs:         ,187.40               ,                       ,          
Min Obs:         ,157.00               ,                       ,          
Max Obs:         ,324.00               ,                       ,          
                 ,                     ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-4.9591  ,24.075   ,-0.2060,0.8368 ,-52.155 ,42.237  
L_0_entry_rate_whole   ,-8.0107  ,19.679   ,-0.4071,0.6840 ,-46.588 ,30.566  
L_0_log_gdp            ,15.873   ,6.6102   ,2.4013 ,0.0164 ,2.9147  ,28.831  
L_0_log_restriction_2_0,0.3291   ,5.1911   ,0.0634 ,0.9495 ,-9.8473 ,10.505  
L_1_entry_rate_whole   ,28.484   ,16.458   ,1.7307 ,0.0836 ,-3.7798 ,60.747  
L_1_log_gdp            ,12.678   ,5.8192   ,2.1787 ,0.0294 ,1.2708  ,24.086  
L_1_log_restriction_2_0,3.9112   ,6.7185   ,0.5821 ,0.5605 ,-9.2594 ,17.082  
L_2_entry_rate_whole   ,-37.037  ,17.503   ,-2.1161,0.0344 ,-71.348 ,-2.7256 
L_2_log_gdp            ,-22.633  ,7.9106   ,-2.8612,0.0042 ,-38.141 ,-7.1261 
L_2_log_restriction_2_0,-5.9726  ,3.9529   ,-1.5109,0.1309 ,-13.722 ,1.7764  
L_3_entry_rate_whole   ,-0.2427  ,10.384   ,-0.0234,0.9814 ,-20.598 ,20.113  
L_3_log_gdp            ,-6.5275  ,4.9306   ,-1.3239,0.1856 ,-16.193 ,3.1382  
L_3_log_restriction_2_0,-0.4479  ,3.7812   ,-0.1185,0.9057 ,-7.8604 ,6.9645  
log_emp_cohort         ,3.3611   ,0.9311   ,3.6098 ,0.0003 ,1.5358  ,5.1863  

F-test for Poolability: 3.9883
P-value: 0.0000
Distribution: F(198,6347)

Included effects: Entity, Time
