                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.2118    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.2405    
No. Observations:,3359            ,  R-squared (Within):  ,0.2091    
Date:            ,Thu, Jun 02 2022,  R-squared (Overall): ,0.2106    
Time:            ,13:50:53        ,  Log-likelihood       ,5042.0    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,52.068    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,197.59          ,  Distribution:        ,F(17,3295)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,311.00          ,  F-statistic (robust):,117.84    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(17,3295)
Avg Obs:         ,98.794          ,                       ,          
Min Obs:         ,72.000          ,                       ,          
Max Obs:         ,178.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-0.0395  ,0.1383   ,-0.2857,0.7752 ,-0.3107 ,0.2317  
L_0_entry_rate_whole   ,0.0291   ,0.1711   ,0.1700 ,0.8650 ,-0.3064 ,0.3646  
L_0_log_gdp            ,-0.0244  ,0.0227   ,-1.0773,0.2814 ,-0.0689 ,0.0200  
L_0_log_restriction_2_0,0.0050   ,0.0199   ,0.2530 ,0.8003 ,-0.0340 ,0.0441  
L_1_entry_rate_whole   ,-0.0769  ,0.2116   ,-0.3635,0.7163 ,-0.4917 ,0.3379  
L_1_log_gdp            ,-0.0271  ,0.0349   ,-0.7780,0.4366 ,-0.0955 ,0.0412  
L_1_log_restriction_2_0,0.0166   ,0.0252   ,0.6590 ,0.5100 ,-0.0328 ,0.0661  
L_2_entry_rate_whole   ,0.0953   ,0.2118   ,0.4500 ,0.6527 ,-0.3199 ,0.5105  
L_2_log_gdp            ,0.0363   ,0.0369   ,0.9826 ,0.3259 ,-0.0361 ,0.1086  
L_2_log_restriction_2_0,-0.0086  ,0.0236   ,-0.3629,0.7167 ,-0.0549 ,0.0377  
L_3_entry_rate_whole   ,0.0150   ,0.2052   ,0.0729 ,0.9419 ,-0.3874 ,0.4173  
L_3_log_gdp            ,-0.0054  ,0.0336   ,-0.1609,0.8722 ,-0.0714 ,0.0606  
L_3_log_restriction_2_0,-0.0027  ,0.0251   ,-0.1081,0.9139 ,-0.0520 ,0.0466  
L_4_entry_rate_whole   ,0.0676   ,0.1533   ,0.4411 ,0.6592 ,-0.2330 ,0.3682  
L_4_log_gdp            ,0.0199   ,0.0228   ,0.8703 ,0.3842 ,-0.0249 ,0.0646  
L_4_log_restriction_2_0,-0.0010  ,0.0200   ,-0.0476,0.9620 ,-0.0403 ,0.0384  
cross                  ,-0.0025  ,0.0014   ,-1.7449,0.0811 ,-0.0053 ,0.0003  
large_firm             ,-0.0388  ,0.0152   ,-2.5499,0.0108 ,-0.0687 ,-0.0090 

F-test for Poolability: 1.3720
P-value: 0.0491
Distribution: F(46,3295)

Included effects: Entity, Time
