                       PanelOLS Estimation Summary                        
Dep. Variable:   ,net_job_creation_rate,  R-squared:           ,0.0176    
Estimator:       ,PanelOLS             ,  R-squared (Between): ,-0.0331   
No. Observations:,6380                 ,  R-squared (Within):  ,0.0139    
Date:            ,Sun, Jun 19 2022     ,  R-squared (Overall): ,-0.0558   
Time:            ,15:35:31             ,  Log-likelihood       ,-2.686e+04
Cov. Estimator:  ,Clustered            ,                       ,          
                 ,                     ,  F-statistic:         ,6.9187    
Entities:        ,262                  ,  P-value              ,0.0000    
Avg Obs:         ,24.351               ,  Distribution:        ,F(16,6167)
Min Obs:         ,0.0000               ,                       ,          
Max Obs:         ,40.000               ,  F-statistic (robust):,-1.985e+14
                 ,                     ,  P-value              ,1.0000    
Time periods:    ,34                   ,  Distribution:        ,F(16,6167)
Avg Obs:         ,187.65               ,                       ,          
Min Obs:         ,158.00               ,                       ,          
Max Obs:         ,320.00               ,                       ,          
                 ,                     ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-49.538  ,24.102   ,-2.0553,0.0399 ,-96.786 ,-2.2888 
L_0_entry_rate_whole   ,-9.5828  ,13.372   ,-0.7166,0.4736 ,-35.797 ,16.631  
L_0_log_gdp            ,17.764   ,6.1497   ,2.8886 ,0.0039 ,5.7088  ,29.820  
L_0_log_restriction_2_0,-2.4936  ,5.3746   ,-0.4640,0.6427 ,-13.030 ,8.0425  
L_1_entry_rate_whole   ,34.960   ,14.878   ,2.3499 ,0.0188 ,5.7949  ,64.125  
L_1_log_gdp            ,3.8069   ,7.2461   ,0.5254 ,0.5993 ,-10.398 ,18.012  
L_1_log_restriction_2_0,-7.8695  ,4.7182   ,-1.6679,0.0954 ,-17.119 ,1.3798  
L_2_entry_rate_whole   ,-22.712  ,9.9034   ,-2.2933,0.0219 ,-42.126 ,-3.2975 
L_2_log_gdp            ,-16.614  ,7.2741   ,-2.2839,0.0224 ,-30.873 ,-2.3539 
L_2_log_restriction_2_0,8.3084   ,8.0984   ,1.0259 ,0.3050 ,-7.5674 ,24.184  
L_3_entry_rate_whole   ,-0.4345  ,16.735   ,-0.0260,0.9793 ,-33.241 ,32.372  
L_3_log_gdp            ,-12.271  ,10.007   ,-1.2263,0.2201 ,-31.888 ,7.3458  
L_3_log_restriction_2_0,0.9989   ,12.720   ,0.0785 ,0.9374 ,-23.936 ,25.934  
L_4_entry_rate_whole   ,2.4524   ,7.5990   ,0.3227 ,0.7469 ,-12.444 ,17.349  
L_4_log_gdp            ,5.0290   ,7.8502   ,0.6406 ,0.5218 ,-10.360 ,20.418  
L_4_log_restriction_2_0,4.7091   ,6.1033   ,0.7716 ,0.4404 ,-7.2554 ,16.674  
log_emp_cohort         ,2.3368   ,0.7497   ,3.1171 ,0.0018 ,0.8672  ,3.8064  

F-test for Poolability: 3.2931
P-value: 0.0000
Distribution: F(196,6167)

Included effects: Entity, Time
