                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0186    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.0188   
No. Observations:,5518            ,  R-squared (Within):  ,-0.0126   
Date:            ,Sun, Jun 19 2022,  R-squared (Overall): ,-0.0151   
Time:            ,15:34:56        ,  Log-likelihood       ,8560.7    
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,5.3008    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,21.061          ,  Distribution:        ,F(19,5306)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,38.000          ,  F-statistic (robust):,-1.44e+15 
                 ,                ,  P-value              ,1.0000    
Time periods:    ,33              ,  Distribution:        ,F(19,5306)
Avg Obs:         ,167.21          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,306.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,0.0968   ,0.1026   ,0.9436 ,0.3454 ,-0.1044 ,0.2980  
L_0_entry_rate_whole   ,0.1142   ,0.0615   ,1.8590 ,0.0631 ,-0.0062 ,0.2347  
L_0_log_gdp            ,-0.0162  ,0.0278   ,-0.5808,0.5614 ,-0.0707 ,0.0384  
L_0_log_restriction_2_0,0.0364   ,0.0174   ,2.0894 ,0.0367 ,0.0022  ,0.0706  
L_1_entry_rate_whole   ,-0.1458  ,0.0724   ,-2.0122,0.0443 ,-0.2878 ,-0.0037 
L_1_log_gdp            ,-0.0202  ,0.0201   ,-1.0070,0.3140 ,-0.0595 ,0.0191  
L_1_log_restriction_2_0,-0.0211  ,0.0157   ,-1.3485,0.1775 ,-0.0518 ,0.0096  
L_2_entry_rate_whole   ,0.0089   ,0.0835   ,0.1064 ,0.9153 ,-0.1549 ,0.1726  
L_2_log_gdp            ,0.0328   ,0.0143   ,2.2863 ,0.0223 ,0.0047  ,0.0609  
L_2_log_restriction_2_0,0.0214   ,0.0155   ,1.3832 ,0.1667 ,-0.0089 ,0.0517  
L_3_entry_rate_whole   ,0.0078   ,0.0818   ,0.0953 ,0.9241 ,-0.1525 ,0.1681  
L_3_log_gdp            ,0.0228   ,0.0187   ,1.2147 ,0.2245 ,-0.0140 ,0.0595  
L_3_log_restriction_2_0,-0.0188  ,0.0210   ,-0.8949,0.3709 ,-0.0600 ,0.0224  
L_4_entry_rate_whole   ,-0.0471  ,0.0543   ,-0.8678,0.3856 ,-0.1535 ,0.0593  
L_4_log_gdp            ,-0.0448  ,0.0170   ,-2.6333,0.0085 ,-0.0782 ,-0.0115 
L_4_log_restriction_2_0,-0.0071  ,0.0152   ,-0.4687,0.6393 ,-0.0370 ,0.0227  
L_5_entry_rate_whole   ,0.1232   ,0.0379   ,3.2553 ,0.0011 ,0.0490  ,0.1974  
L_5_log_gdp            ,0.0380   ,0.0095   ,4.0001 ,0.0001 ,0.0194  ,0.0566  
L_5_log_restriction_2_0,-0.0147  ,0.0136   ,-1.0833,0.2787 ,-0.0413 ,0.0119  
log_emp_cohort         ,-0.0022  ,0.0035   ,-0.6178,0.5367 ,-0.0090 ,0.0047  

F-test for Poolability: 9.0530
P-value: 0.0000
Distribution: F(192,5306)

Included effects: Entity, Time
