                       PanelOLS Estimation Summary                       
Dep. Variable:   ,job_destruction_rate,  R-squared:           ,0.0976    
Estimator:       ,PanelOLS            ,  R-squared (Between): ,-6.6059   
No. Observations:,3386                ,  R-squared (Within):  ,-0.0584   
Date:            ,Sun, Jun 19 2022    ,  R-squared (Overall): ,-0.3106   
Time:            ,15:36:39            ,  Log-likelihood       ,-1.38e+04 
Cov. Estimator:  ,Robust              ,                       ,          
                 ,                    ,  F-statistic:         ,17.097    
Entities:        ,17                  ,  P-value              ,0.0000    
Avg Obs:         ,199.18              ,  Distribution:        ,F(21,3320)
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,305.00              ,  F-statistic (robust):,11.965    
                 ,                    ,  P-value              ,0.0000    
Time periods:    ,33                  ,  Distribution:        ,F(21,3320)
Avg Obs:         ,102.61              ,                       ,          
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,196.00              ,                       ,          
                 ,                    ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-12.276  ,30.138   ,-0.4073,0.6838 ,-71.367 ,46.814  
L_0_entry_rate_whole   ,-40.234  ,26.843   ,-1.4989,0.1340 ,-92.863 ,12.396  
L_0_log_gdp            ,-5.0812  ,4.7105   ,-1.0787,0.2808 ,-14.317 ,4.1546  
L_0_log_restriction_2_0,3.4925   ,4.3536   ,0.8022 ,0.4225 ,-5.0436 ,12.029  
L_1_entry_rate_whole   ,31.216   ,28.083   ,1.1116 ,0.2664 ,-23.845 ,86.278  
L_1_log_gdp            ,-7.3090  ,5.1092   ,-1.4305,0.1527 ,-17.327 ,2.7085  
L_1_log_restriction_2_0,-2.3473  ,9.2785   ,-0.2530,0.8003 ,-20.540 ,15.845  
L_2_entry_rate_whole   ,34.878   ,36.585   ,0.9533 ,0.3405 ,-36.853 ,106.61  
L_2_log_gdp            ,13.314   ,5.0911   ,2.6152 ,0.0090 ,3.3322  ,23.296  
L_2_log_restriction_2_0,7.4937   ,11.334   ,0.6612 ,0.5085 ,-14.728 ,29.716  
L_3_entry_rate_whole   ,-39.787  ,33.290   ,-1.1951,0.2321 ,-105.06 ,25.485  
L_3_log_gdp            ,3.9509   ,5.8636   ,0.6738 ,0.5005 ,-7.5458 ,15.448  
L_3_log_restriction_2_0,-4.6008  ,5.3499   ,-0.8600,0.3899 ,-15.090 ,5.8887  
L_4_entry_rate_whole   ,-18.155  ,33.188   ,-0.5470,0.5844 ,-83.227 ,46.917  
L_4_log_gdp            ,4.1053   ,5.6583   ,0.7255 ,0.4682 ,-6.9889 ,15.199  
L_4_log_restriction_2_0,5.4433   ,10.427   ,0.5220 ,0.6017 ,-15.001 ,25.888  
L_5_entry_rate_whole   ,47.905   ,26.293   ,1.8219 ,0.0686 ,-3.6477 ,99.458  
L_5_log_gdp            ,-1.1291  ,4.0109   ,-0.2815,0.7783 ,-8.9933 ,6.7351  
L_5_log_restriction_2_0,-4.7681  ,9.2492   ,-0.5155,0.6062 ,-22.903 ,13.367  
cross                  ,0.2800   ,0.7369   ,0.3799 ,0.7040 ,-1.1648 ,1.7248  
large_firm             ,-14.935  ,8.2220   ,-1.8165,0.0694 ,-31.056 ,1.1856  
log_emp_cohort         ,-6.4899  ,1.1651   ,-5.5705,0.0000 ,-8.7743 ,-4.2056 

F-test for Poolability: 5.6374
P-value: 0.0000
Distribution: F(44,3320)

Included effects: Entity, Time
