                        PanelOLS Estimation Summary                         
Dep. Variable:   ,job_creation_continuers,  R-squared:           ,0.0329    
Estimator:       ,PanelOLS               ,  R-squared (Between): ,-0.1940   
No. Observations:,6042                   ,  R-squared (Within):  ,-0.1815   
Date:            ,Sun, Jun 19 2022       ,  R-squared (Overall): ,-0.1891   
Time:            ,15:36:04               ,  Log-likelihood       ,-5.255e+04
Cov. Estimator:  ,Clustered              ,                       ,          
                 ,                       ,  F-statistic:         ,10.447    
Entities:        ,262                    ,  P-value              ,0.0000    
Avg Obs:         ,23.061                 ,  Distribution:        ,F(19,5828)
Min Obs:         ,0.0000                 ,                       ,          
Max Obs:         ,38.000                 ,  F-statistic (robust):,5.626e+12 
                 ,                       ,  P-value              ,0.0000    
Time periods:    ,33                     ,  Distribution:        ,F(19,5828)
Avg Obs:         ,183.09                 ,                       ,          
Min Obs:         ,0.0000                 ,                       ,          
Max Obs:         ,324.00                 ,                       ,          
                 ,                       ,                       ,          
                              Parameter Estimates                               
                       ,Parameter ,Std. Err., T-stat,P-value, Lower CI ,Upper CI
const                  ,-1.559e+04,6982.1   ,-2.2334,0.0256 ,-2.928e+04,-1906.7 
L_0_entry_rate_whole   ,-1256.5   ,800.74   ,-1.5692,0.1167 ,-2826.2   ,313.24  
L_0_log_gdp            ,1034.1    ,504.50   ,2.0497 ,0.0404 ,45.060    ,2023.1  
L_0_log_restriction_2_0,-277.71   ,249.54   ,-1.1129,0.2658 ,-766.91   ,211.49  
L_1_entry_rate_whole   ,-729.35   ,532.00   ,-1.3710,0.1704 ,-1772.3   ,313.57  
L_1_log_gdp            ,1213.4    ,379.22   ,3.1998 ,0.0014 ,470.01    ,1956.8  
L_1_log_restriction_2_0,-351.53   ,170.17   ,-2.0658,0.0389 ,-685.12   ,-17.943 
L_2_entry_rate_whole   ,375.50    ,261.50   ,1.4359 ,0.1511 ,-137.14   ,888.14  
L_2_log_gdp            ,-479.46   ,338.03   ,-1.4184,0.1561 ,-1142.1   ,183.20  
L_2_log_restriction_2_0,-565.04   ,283.50   ,-1.9930,0.0463 ,-1120.8   ,-9.2624 
L_3_entry_rate_whole   ,-332.20   ,500.35   ,-0.6639,0.5068 ,-1313.1   ,648.68  
L_3_log_gdp            ,-415.87   ,371.85   ,-1.1184,0.2635 ,-1144.8   ,313.10  
L_3_log_restriction_2_0,788.26    ,181.17   ,4.3510 ,0.0000 ,433.11    ,1143.4  
L_4_entry_rate_whole   ,-585.88   ,652.35   ,-0.8981,0.3692 ,-1864.7   ,692.96  
L_4_log_gdp            ,-183.75   ,425.68   ,-0.4317,0.6660 ,-1018.2   ,650.75  
L_4_log_restriction_2_0,-205.80   ,296.18   ,-0.6948,0.4872 ,-786.41   ,374.82  
L_5_entry_rate_whole   ,767.75    ,1141.0   ,0.6729 ,0.5011 ,-1469.0   ,3004.5  
L_5_log_gdp            ,144.15    ,229.97   ,0.6268 ,0.5308 ,-306.68   ,594.98  
L_5_log_restriction_2_0,1332.2    ,791.17   ,1.6838 ,0.0923 ,-218.79   ,2883.2  
log_emp_cohort         ,204.56    ,73.121   ,2.7976 ,0.0052 ,61.217    ,347.91  

F-test for Poolability: 55.679
P-value: 0.0000
Distribution: F(194,5828)

Included effects: Entity, Time
